# Source: HSE PCRS Annual Reporting Portal (public, no login required)
# https://www.sspcrs.ie/portal/annual-reporting/report/pharmacy -> "Top 100 Prescribing Products" (Monthly), Scheme Type = GMS
# Collected manually on 2026-07-29. Full 8 years available on the portal (Jan 2016 - Dec 2023), all 12 months
# each year, for the Republic of Ireland (GMS scheme only) - NOT this pharmacy's own sales. Used to derive both
# a relative demand weight between drugs AND a real month-of-year seasonal index per drug, averaged across all
# 8 years (see app/pcrs.py) - not a single year's noise.
# A handful of 2016-2017 months show fewer than 15 drugs - some simply weren't in the GMS top-100 that early.
# Amoxicillin also drops out of several mid-summer months most years (antibiotic prescribing dips then).
# These gaps are left absent rather than guessed at; app/pcrs.py falls back to a flat 1.0 multiplier for them.
year_month,product_name,prescribing_frequency
201703,Amlodipine,70335
201703,Folic Acid,45824
201703,Ramipril,64917
201703,Amoxicillin,40672
201704,Atorvastatin,145268
201704,Levothyroxine Sodium,134190
201704,Colecalciferol,40257
201704,Esomeprazole,101160
201704,Paracetamol,108813
201704,Acetylsalicylic Acid,165913
201704,Bisoprolol,97893
201704,Rosuvastatin,65934
201704,Salbutamol (Inhaled),86586
201704,Pantoprazole,56988
201704,Amlodipine,65644
201704,Folic Acid,42392
201704,Ramipril,60317
201704,Amoxicillin,34375
201705,Atorvastatin,153851
201705,Levothyroxine Sodium,142583
201705,Colecalciferol,44292
201705,Esomeprazole,107985
201705,Paracetamol,117021
201705,Acetylsalicylic Acid,175363
201705,Bisoprolol,103823
201705,Rosuvastatin,69935
201705,Salbutamol (Inhaled),93348
201705,Pantoprazole,60915
201705,Amlodipine,69534
201705,Folic Acid,45218
201705,Ramipril,64243
201706,Atorvastatin,152702
201706,Levothyroxine Sodium,142368
201706,Colecalciferol,44462
201706,Esomeprazole,107890
201706,Paracetamol,114015
201706,Acetylsalicylic Acid,173236
201706,Bisoprolol,103034
201706,Rosuvastatin,69406
201706,Salbutamol (Inhaled),91299
201706,Pantoprazole,60248
201706,Amlodipine,68853
201706,Folic Acid,46674
201706,Ramipril,63489
201707,Atorvastatin,149960
201707,Levothyroxine Sodium,139126
201707,Colecalciferol,44121
201707,Esomeprazole,105731
201707,Paracetamol,112001
201707,Acetylsalicylic Acid,169533
201707,Bisoprolol,100912
201707,Rosuvastatin,68301
201707,Salbutamol (Inhaled),86572
201707,Pantoprazole,58845
201707,Amlodipine,67345
201707,Folic Acid,46575
201707,Ramipril,62096
201708,Atorvastatin,156004
201708,Levothyroxine Sodium,144733
201708,Colecalciferol,46318
201708,Esomeprazole,110866
201708,Paracetamol,116342
201708,Acetylsalicylic Acid,175057
201708,Bisoprolol,105174
201708,Rosuvastatin,70921
201708,Salbutamol (Inhaled),89588
201708,Pantoprazole,61389
201708,Amlodipine,69793
201708,Folic Acid,48201
201708,Ramipril,64516
201708,Sertraline,36063
201709,Atorvastatin,151639
201709,Levothyroxine Sodium,140206
201709,Colecalciferol,46390
201709,Esomeprazole,107879
201709,Paracetamol,115779
201709,Acetylsalicylic Acid,169406
201709,Bisoprolol,101969
201709,Rosuvastatin,69130
201709,Salbutamol (Inhaled),95192
201709,Pantoprazole,59467
201709,Amlodipine,67779
201709,Folic Acid,47030
201709,Ramipril,62557
201709,Amoxicillin,37545
201710,Atorvastatin,152009
201710,Levothyroxine Sodium,140052
201710,Colecalciferol,47617
201710,Esomeprazole,107811
201710,Paracetamol,115705
201710,Acetylsalicylic Acid,168548
201710,Bisoprolol,101977
201710,Rosuvastatin,69099
201710,Salbutamol (Inhaled),93570
201710,Pantoprazole,59575
201710,Amlodipine,68111
201710,Folic Acid,47210
201710,Ramipril,62252
201710,Amoxicillin,36101
201711,Atorvastatin,155838
201711,Levothyroxine Sodium,143462
201711,Colecalciferol,50899
201711,Esomeprazole,111611
201711,Paracetamol,119782
201711,Acetylsalicylic Acid,172169
201711,Bisoprolol,104543
201711,Rosuvastatin,71082
201711,Salbutamol (Inhaled),99401
201711,Pantoprazole,61272
201711,Amlodipine,69816
201711,Folic Acid,48701
201711,Ramipril,64140
201711,Amoxicillin,41363
201712,Atorvastatin,154511
201712,Levothyroxine Sodium,142735
201712,Colecalciferol,51074
201712,Esomeprazole,110700
201712,Paracetamol,119916
201712,Acetylsalicylic Acid,170002
201712,Bisoprolol,103663
201712,Rosuvastatin,70791
201712,Salbutamol (Inhaled),103746
201712,Pantoprazole,60481
201712,Amlodipine,69301
201712,Folic Acid,47467
201712,Ramipril,63393
201712,Sertraline,35678
201712,Amoxicillin,58827
201801,Atorvastatin,157700
201801,Levothyroxine Sodium,145562
201801,Colecalciferol,53988
201801,Esomeprazole,114198
201801,Paracetamol,130593
201801,Acetylsalicylic Acid,172844
201801,Bisoprolol,105753
201801,Rosuvastatin,71900
201801,Salbutamol (Inhaled),104682
201801,Pantoprazole,62204
201801,Amlodipine,70868
201801,Folic Acid,49079
201801,Ramipril,64418
201801,Sertraline,37188
201801,Amoxicillin,61160
201802,Atorvastatin,146741
201802,Levothyroxine Sodium,135063
201802,Colecalciferol,52106
201802,Esomeprazole,105324
201802,Paracetamol,115666
201802,Acetylsalicylic Acid,159192
201802,Bisoprolol,98326
201802,Rosuvastatin,66877
201802,Salbutamol (Inhaled),92051
201802,Pantoprazole,57022
201802,Amlodipine,65769
201802,Folic Acid,45403
201802,Ramipril,59700
201802,Sertraline,34538
201802,Amoxicillin,44068
201803,Atorvastatin,156660
201803,Levothyroxine Sodium,144155
201803,Colecalciferol,57036
201803,Esomeprazole,112684
201803,Paracetamol,119726
201803,Acetylsalicylic Acid,169087
201803,Bisoprolol,104759
201803,Rosuvastatin,71318
201803,Salbutamol (Inhaled),95204
201803,Pantoprazole,61159
201803,Amlodipine,70927
201803,Folic Acid,48689
201803,Ramipril,63594
201803,Sertraline,37178
201803,Amoxicillin,38954
201804,Atorvastatin,150443
201804,Levothyroxine Sodium,139238
201804,Colecalciferol,57388
201804,Esomeprazole,109330
201804,Paracetamol,116584
201804,Acetylsalicylic Acid,162425
201804,Bisoprolol,101251
201804,Rosuvastatin,68469
201804,Salbutamol (Inhaled),89945
201804,Pantoprazole,59189
201804,Amlodipine,67766
201804,Folic Acid,47605
201804,Ramipril,61157
201804,Sertraline,36029
201805,Atorvastatin,159565
201805,Levothyroxine Sodium,147855
201805,Colecalciferol,61738
201805,Esomeprazole,116409
201805,Paracetamol,122646
201805,Acetylsalicylic Acid,171231
201805,Bisoprolol,107101
201805,Rosuvastatin,72953
201805,Salbutamol (Inhaled),95798
201805,Pantoprazole,62460
201805,Amlodipine,71830
201805,Folic Acid,50751
201805,Ramipril,64730
201805,Sertraline,38683
201806,Atorvastatin,154145
201806,Levothyroxine Sodium,143567
201806,Colecalciferol,58976
201806,Esomeprazole,112080
201806,Paracetamol,115856
201806,Acetylsalicylic Acid,165726
201806,Bisoprolol,103843
201806,Rosuvastatin,70541
201806,Salbutamol (Inhaled),92284
201806,Pantoprazole,60436
201806,Amlodipine,69088
201806,Folic Acid,49410
201806,Ramipril,62548
201806,Sertraline,36797
201807,Atorvastatin,156003
201807,Levothyroxine Sodium,146211
201807,Colecalciferol,59340
201807,Esomeprazole,114830
201807,Paracetamol,118053
201807,Acetylsalicylic Acid,167436
201807,Bisoprolol,105397
201807,Rosuvastatin,71384
201807,Salbutamol (Inhaled),89913
201807,Pantoprazole,61272
201807,Amlodipine,70055
201807,Folic Acid,50899
201807,Ramipril,63358
201807,Sertraline,37775
201808,Atorvastatin,161023
201808,Levothyroxine Sodium,151092
