# Source: HSE PCRS Annual Reporting Portal (public, no login required)
# https://www.sspcrs.ie/portal/annual-reporting/report/pharmacy -> "Top 100 Prescribing Products" (Monthly), Scheme Type = GMS
# Collected manually on 2026-07-29. Full 8 years available on the portal (Jan 2016 - Dec 2023), all 12 months
# each year, for the Republic of Ireland (GMS scheme only) - NOT this pharmacy's own sales. Used to derive both
# a relative demand weight between drugs AND a real month-of-year seasonal index per drug, averaged across all
# 8 years (see app/pcrs.py) - not a single year's noise.
# A handful of 2016-2017 months show fewer than 15 drugs - some simply weren't in the GMS top-100 that early.
# Amoxicillin also drops out of several mid-summer months most years (antibiotic prescribing dips then).
# These gaps are left absent rather than guessed at; app/pcrs.py falls back to a flat 1.0 multiplier for them.
year_month,product_name,prescribing_frequency
202101,Amlodipine,74198
202101,Folic Acid,60361
202101,Ramipril,66543
202101,Sertraline,49568
202102,Atorvastatin,158807
202102,Levothyroxine Sodium,150295
202102,Colecalciferol,109966
202102,Esomeprazole,127171
202102,Paracetamol,125011
202102,Acetylsalicylic Acid,146144
202102,Bisoprolol,106654
202102,Rosuvastatin,75494
202102,Salbutamol (Inhaled),90447
202102,Pantoprazole,68520
202102,Amlodipine,70503
202102,Folic Acid,57058
202102,Ramipril,62737
202102,Sertraline,47602
202103,Atorvastatin,174787
202103,Levothyroxine Sodium,165534
202103,Colecalciferol,123944
202103,Esomeprazole,141264
202103,Paracetamol,138829
202103,Acetylsalicylic Acid,160537
202103,Bisoprolol,117424
202103,Rosuvastatin,83635
202103,Salbutamol (Inhaled),98552
202103,Pantoprazole,75659
202103,Amlodipine,77723
202103,Folic Acid,63624
202103,Ramipril,69477
202103,Sertraline,53499
202104,Atorvastatin,171194
202104,Levothyroxine Sodium,162482
202104,Colecalciferol,124324
202104,Esomeprazole,138327
202104,Paracetamol,136828
202104,Acetylsalicylic Acid,156402
202104,Bisoprolol,114995
202104,Rosuvastatin,81564
202104,Salbutamol (Inhaled),96429
202104,Pantoprazole,74127
202104,Amlodipine,76102
202104,Folic Acid,62691
202104,Ramipril,67740
202104,Sertraline,51889
202105,Atorvastatin,966
202105,Levothyroxine Sodium,802
202105,Colecalciferol,559
202105,Esomeprazole,658
202105,Paracetamol,575
202105,Acetylsalicylic Acid,789
202105,Bisoprolol,678
202105,Rosuvastatin,444
202105,Salbutamol (Inhaled),438
202105,Pantoprazole,313
202105,Amlodipine,457
202105,Folic Acid,257
202105,Ramipril,422
202105,Sertraline,241
202106,Atorvastatin,335301
202106,Levothyroxine Sodium,317057
202106,Colecalciferol,241209
202106,Esomeprazole,270733
202106,Paracetamol,270020
202106,Acetylsalicylic Acid,305215
202106,Bisoprolol,225797
202106,Rosuvastatin,159795
202106,Salbutamol (Inhaled),188544
202106,Pantoprazole,145771
202106,Amlodipine,149129
202106,Folic Acid,122153
202106,Ramipril,133071
202106,Sertraline,102723
202107,Atorvastatin,176901
202107,Levothyroxine Sodium,167082
202107,Colecalciferol,124905
202107,Esomeprazole,143276
202107,Paracetamol,142187
202107,Acetylsalicylic Acid,160261
202107,Bisoprolol,119135
202107,Rosuvastatin,84887
202107,Salbutamol (Inhaled),98946
202107,Pantoprazole,77135
202107,Amlodipine,77918
202107,Folic Acid,65239
202107,Ramipril,70279
202107,Sertraline,54158
202108,Atorvastatin,170261
202108,Levothyroxine Sodium,160955
202108,Colecalciferol,120204
202108,Esomeprazole,137776
202108,Paracetamol,136212
202108,Acetylsalicylic Acid,153394
202108,Bisoprolol,114514
202108,Rosuvastatin,81683
202108,Salbutamol (Inhaled),93195
202108,Pantoprazole,74706
202108,Amlodipine,74883
202108,Folic Acid,63505
202108,Ramipril,67417
202108,Sertraline,52193
202109,Atorvastatin,173503
202109,Levothyroxine Sodium,163081
202109,Colecalciferol,122839
202109,Esomeprazole,140696
202109,Paracetamol,139137
202109,Acetylsalicylic Acid,154767
202109,Bisoprolol,116056
202109,Rosuvastatin,82796
202109,Salbutamol (Inhaled),99633
202109,Pantoprazole,75992
202109,Amlodipine,75664
202109,Folic Acid,65350
202109,Ramipril,68464
202109,Sertraline,53780
202110,Atorvastatin,171537
202110,Levothyroxine Sodium,160722
202110,Colecalciferol,121722
202110,Esomeprazole,137678
202110,Paracetamol,137750
202110,Acetylsalicylic Acid,152505
202110,Bisoprolol,114928
202110,Rosuvastatin,82314
202110,Salbutamol (Inhaled),101675
202110,Pantoprazole,75219
202110,Amlodipine,75021
202110,Folic Acid,64333
202110,Ramipril,67568
202110,Sertraline,52967
202110,Amoxicillin,48483
202111,Atorvastatin,175271
202111,Levothyroxine Sodium,163352
202111,Colecalciferol,126982
202111,Esomeprazole,141877
202111,Paracetamol,142265
202111,Acetylsalicylic Acid,154519
202111,Bisoprolol,116641
202111,Rosuvastatin,84118
202111,Salbutamol (Inhaled),105614
202111,Pantoprazole,76948
202111,Amlodipine,76265
202111,Folic Acid,66024
202111,Ramipril,68972
202111,Sertraline,54706
202111,Amoxicillin,51878
202112,Atorvastatin,182023
202112,Levothyroxine Sodium,169272
202112,Colecalciferol,131039
202112,Esomeprazole,146569
202112,Paracetamol,146480
202112,Acetylsalicylic Acid,159399
202112,Bisoprolol,121117
202112,Rosuvastatin,87357
202112,Salbutamol (Inhaled),108074
202112,Pantoprazole,79310
202112,Amlodipine,79035
202112,Folic Acid,67481
202112,Ramipril,71383
202112,Sertraline,56073
202112,Amoxicillin,47389
202201,Atorvastatin,175899
202201,Levothyroxine Sodium,163461
202201,Colecalciferol,128900
202201,Esomeprazole,142135
202201,Paracetamol,143603
202201,Acetylsalicylic Acid,153888
202201,Bisoprolol,117549
202201,Rosuvastatin,84000
202201,Salbutamol (Inhaled),101131
202201,Pantoprazole,77207
202201,Amlodipine,76420
202201,Folic Acid,66095
202201,Ramipril,68980
202201,Sertraline,54824
202202,Atorvastatin,167329
202202,Levothyroxine Sodium,155249
202202,Colecalciferol,125212
202202,Esomeprazole,135177
202202,Paracetamol,135756
202202,Acetylsalicylic Acid,145276
202202,Bisoprolol,111461
202202,Rosuvastatin,80496
202202,Salbutamol (Inhaled),94968
202202,Pantoprazole,74058
202202,Amlodipine,72958
202202,Folic Acid,63630
202202,Ramipril,65595
202202,Sertraline,52065
202203,Atorvastatin,180704
202203,Levothyroxine Sodium,166948
202203,Colecalciferol,135806
202203,Esomeprazole,145287
202203,Paracetamol,148060
202203,Acetylsalicylic Acid,155341
202203,Bisoprolol,119554
202203,Rosuvastatin,86949
202203,Salbutamol (Inhaled),104765
202203,Pantoprazole,79209
202203,Amlodipine,78699
202203,Folic Acid,69068
202203,Ramipril,70804
202203,Sertraline,56628
202203,Amoxicillin,56623
202204,Atorvastatin,177744
202204,Levothyroxine Sodium,163564
202204,Colecalciferol,133477
202204,Esomeprazole,141570
202204,Paracetamol,141053
202204,Acetylsalicylic Acid,151981
202204,Bisoprolol,117658
202204,Rosuvastatin,85623
202204,Salbutamol (Inhaled),99160
202204,Pantoprazole,78344
202204,Amlodipine,77150
202204,Folic Acid,67811
202204,Ramipril,69461
202204,Sertraline,55216
202204,Amoxicillin,46589
202205,Atorvastatin,178923
202205,Levothyroxine Sodium,164806
202205,Colecalciferol,135821
202205,Esomeprazole,143503
202205,Paracetamol,132570
202205,Acetylsalicylic Acid,152410
202205,Bisoprolol,118604
202205,Rosuvastatin,85804
202205,Salbutamol (Inhaled),100691
202205,Pantoprazole,79435
202205,Amlodipine,77550
202205,Folic Acid,69074
202205,Ramipril,69763
202205,Sertraline,56154
202205,Amoxicillin,47401
202206,Atorvastatin,180504
202206,Levothyroxine Sodium,165448
202206,Colecalciferol,135850
202206,Esomeprazole,144400
202206,Paracetamol,138424
202206,Acetylsalicylic Acid,152568
202206,Bisoprolol,118954
202206,Rosuvastatin,86762
202206,Salbutamol (Inhaled),100596
202206,Pantoprazole,79567
202206,Amlodipine,77728
202206,Folic Acid,69956
202206,Ramipril,70295
202206,Sertraline,56421
202206,Amoxicillin,46694
202207,Atorvastatin,181001
202207,Levothyroxine Sodium,165979
202207,Colecalciferol,135194
202207,Esomeprazole,143672
202207,Paracetamol,142432
202207,Acetylsalicylic Acid,152133
202207,Bisoprolol,119353
202207,Rosuvastatin,87070
202207,Salbutamol (Inhaled),97347
202207,Pantoprazole,79426
202207,Amlodipine,77480
202207,Folic Acid,70740
202207,Ramipril,70350
202207,Sertraline,56168
202208,Atorvastatin,185441
202208,Levothyroxine Sodium,169942
202208,Colecalciferol,137280
202208,Esomeprazole,147811
202208,Paracetamol,144136
202208,Acetylsalicylic Acid,154969
202208,Bisoprolol,121943
202208,Rosuvastatin,89271
202208,Salbutamol (Inhaled),97135
202208,Pantoprazole,81868
202208,Amlodipine,78631
202208,Folic Acid,72812
202208,Ramipril,72010
202208,Sertraline,58248
202209,Atorvastatin,183925
202209,Levothyroxine Sodium,167240
202209,Colecalciferol,136057
202209,Esomeprazole,146666
202209,Paracetamol,145082
202209,Acetylsalicylic Acid,152902
202209,Bisoprolol,120178
202209,Rosuvastatin,88823
202209,Salbutamol (Inhaled),101959
202209,Pantoprazole,81489
202209,Amlodipine,78175
202209,Folic Acid,72200
202209,Ramipril,71337
202209,Sertraline,58035
202209,Amoxicillin,47714
202210,Atorvastatin,179618
202210,Levothyroxine Sodium,162839
202210,Colecalciferol,134556
202210,Esomeprazole,142625
202210,Paracetamol,141776
202210,Acetylsalicylic Acid,148068
202210,Bisoprolol,117672
202210,Rosuvastatin,86644
202210,Salbutamol (Inhaled),100751
202210,Pantoprazole,79605
202210,Amlodipine,75825
202210,Folic Acid,70376
202210,Ramipril,69168
202210,Sertraline,56304
202210,Amoxicillin,58371
202211,Atorvastatin,188738
202211,Levothyroxine Sodium,169957
202211,Colecalciferol,142909
202211,Esomeprazole,149838
202211,Paracetamol,149036
202211,Acetylsalicylic Acid,154267
202211,Bisoprolol,122613
202211,Rosuvastatin,90971
202211,Salbutamol (Inhaled),107164
202211,Pantoprazole,83471
202211,Amlodipine,80009
202211,Folic Acid,73563
202211,Ramipril,72366
202211,Sertraline,59903
202211,Amoxicillin,68665
202212,Atorvastatin,193062
202212,Levothyroxine Sodium,173373
202212,Colecalciferol,146120
202212,Esomeprazole,152540
202212,Paracetamol,152610
202212,Acetylsalicylic Acid,156949
202212,Bisoprolol,125670
202212,Rosuvastatin,93447
202212,Salbutamol (Inhaled),115963
202212,Pantoprazole,85461
202212,Amlodipine,81549
202212,Folic Acid,74454
202212,Ramipril,73831
202212,Sertraline,59721
202212,Amoxicillin,102073
202301,Atorvastatin,189237
202301,Levothyroxine Sodium,169143
202301,Colecalciferol,144782
202301,Esomeprazole,149649
202301,Paracetamol,148585
202301,Acetylsalicylic Acid,152838
202301,Bisoprolol,122539
202301,Rosuvastatin,91328
202301,Salbutamol (Inhaled),106280
202301,Pantoprazole,84331
202301,Amlodipine,79792
202301,Folic Acid,73378
202301,Ramipril,72366
202301,Sertraline,60079
202301,Amoxicillin,73013
202302,Atorvastatin,179779
202302,Levothyroxine Sodium,159327
202302,Colecalciferol,138537
202302,Esomeprazole,141037
202302,Paracetamol,139836
202302,Acetylsalicylic Acid,143652
202302,Bisoprolol,115796
202302,Rosuvastatin,86548
202302,Salbutamol (Inhaled),96701
202302,Pantoprazole,79329
202302,Amlodipine,76037
202302,Folic Acid,69950
202302,Ramipril,68287
202302,Sertraline,56620
202302,Amoxicillin,56594
202303,Atorvastatin,196073
202303,Levothyroxine Sodium,173217
202303,Colecalciferol,152349
202303,Esomeprazole,153195
202303,Paracetamol,152649
202303,Acetylsalicylic Acid,154198
202303,Bisoprolol,125003
202303,Rosuvastatin,94397
202303,Salbutamol (Inhaled),105082
202303,Pantoprazole,86632
202303,Amlodipine,83314
202303,Folic Acid,76150
202303,Ramipril,74294
202303,Sertraline,62194
202303,Amoxicillin,69997
202304,Atorvastatin,187604
202304,Levothyroxine Sodium,164953
202304,Colecalciferol,146040
202304,Esomeprazole,145200
202304,Paracetamol,142733
202304,Acetylsalicylic Acid,147066
202304,Bisoprolol,119775
202304,Rosuvastatin,90494
202304,Salbutamol (Inhaled),95996
202304,Pantoprazole,82310
202304,Amlodipine,79466
202304,Folic Acid,72614
202304,Ramipril,70790
202304,Sertraline,59144
202304,Amoxicillin,51043
202305,Atorvastatin,196971
202305,Levothyroxine Sodium,172839
202305,Colecalciferol,155018
202305,Esomeprazole,153624
202305,Paracetamol,146731
202305,Acetylsalicylic Acid,153687
202305,Bisoprolol,125361
202305,Rosuvastatin,95064
202305,Salbutamol (Inhaled),103539
202305,Pantoprazole,86517
202305,Amlodipine,82731
202305,Folic Acid,77351
202305,Ramipril,74380
202305,Sertraline,62941
202305,Amoxicillin,55603
202306,Atorvastatin,197218
202306,Levothyroxine Sodium,172580
202306,Colecalciferol,151597
202306,Esomeprazole,152097
202306,Paracetamol,150940
202306,Acetylsalicylic Acid,153018
202306,Bisoprolol,125363
202306,Rosuvastatin,95357
202306,Salbutamol (Inhaled),103398
202306,Pantoprazole,86520
202306,Amlodipine,82019
202306,Folic Acid,77431
202306,Ramipril,73836
202306,Sertraline,62237
202307,Atorvastatin,196568
202307,Levothyroxine Sodium,170841
202307,Colecalciferol,150257
202307,Esomeprazole,151401
202307,Paracetamol,149177
202307,Acetylsalicylic Acid,150986
202307,Bisoprolol,124164
202307,Rosuvastatin,94652
202307,Salbutamol (Inhaled),98981
202307,Pantoprazole,85985
202307,Amlodipine,80880
202307,Folic Acid,76959
202307,Ramipril,73330
202307,Sertraline,62190
202308,Atorvastatin,203688
202308,Levothyroxine Sodium,176556
202308,Colecalciferol,156033
202308,Esomeprazole,157478
202308,Paracetamol,154663
202308,Acetylsalicylic Acid,155457
202308,Bisoprolol,128280
202308,Rosuvastatin,98625
202308,Salbutamol (Inhaled),100335
202308,Pantoprazole,89029
202308,Amlodipine,83677
202308,Folic Acid,79521
202308,Ramipril,75940
202308,Sertraline,64797
202309,Atorvastatin,198338
202309,Levothyroxine Sodium,171545
202309,Colecalciferol,152432
202309,Esomeprazole,152987
202309,Paracetamol,150392
202309,Acetylsalicylic Acid,150492
202309,Bisoprolol,124486
202309,Rosuvastatin,95917
202309,Salbutamol (Inhaled),99923
202309,Pantoprazole,86661
202309,Amlodipine,81092
202309,Folic Acid,77636
202309,Ramipril,73704
202309,Sertraline,62925
202309,Amoxicillin,50358
202310,Atorvastatin,199483
202310,Levothyroxine Sodium,171032
202310,Colecalciferol,154859
202310,Esomeprazole,152822
202310,Paracetamol,150564
202310,Acetylsalicylic Acid,150050
202310,Bisoprolol,124724
202310,Rosuvastatin,95978
202310,Salbutamol (Inhaled),100724
202310,Pantoprazole,87098
202310,Amlodipine,81197
202310,Folic Acid,77623
202310,Ramipril,73949
202310,Sertraline,63265
202310,Amoxicillin,60708
202311,Atorvastatin,204948
202311,Levothyroxine Sodium,174698
202311,Colecalciferol,160609
202311,Esomeprazole,157629
202311,Paracetamol,155551
202311,Acetylsalicylic Acid,152967
202311,Bisoprolol,127916
202311,Rosuvastatin,98925
202311,Salbutamol (Inhaled),105714
202311,Pantoprazole,89631
202311,Amlodipine,83622
202311,Folic Acid,79806
202311,Ramipril,75796
202311,Sertraline,66036
202311,Amoxicillin,69673
202312,Atorvastatin,207546
202312,Levothyroxine Sodium,176082
202312,Colecalciferol,162147
202312,Esomeprazole,159071
202312,Paracetamol,157879
202312,Acetylsalicylic Acid,153802
202312,Bisoprolol,129160
202312,Rosuvastatin,99699
202312,Salbutamol (Inhaled),106904
202312,Pantoprazole,90505
202312,Amlodipine,84178
202312,Folic Acid,79356
202312,Ramipril,76065
202312,Sertraline,65015
202312,Amoxicillin,84346
